entity,added,deleted,net,revisions
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/BranchDeletionFailedException.java,33,0,33,1
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/CommitTest.java,32,32,0,5
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/IntegationFailedExeception.java,32,32,0,3
pretested-integration-plugin/.gitignore,32,7,25,11
pretested-integration-plugin/src/main/resources/org/jenkinsci/plugins/pretestedintegration/scm/git/GitBridge/config.jelly,31,10,21,11
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/PretestedIntegrationBuildWrapperTest.java,30,30,0,5
pretested-integration-plugin/resources/HelloWorldBuilder - jelly example/global.jelly,29,29,0,2
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GHI97_SupportChecksIT.java,29,3,26,2
pretested-integration-plugin/src/main/resources/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationBuildWrapper/global.jelly,29,25,4,9
pretested-integration-plugin/resources/hg_change_group_hook_with_parameters.py,28,28,0,2
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/NextCommitFailureException.java,28,28,0,4
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/DeleteIntegratedBranchException.java,28,28,0,3
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scminterface/PretestedIntegrationSCMCommit.java,28,28,0,2
pretested-integration-plugin/resources/hg_change_group_hook.py_AF_april01,26,26,0,2
pretested-integration-plugin/src/main/resources/org/jenkinsci/plugins/pretestedintegration/scm/mercurial/MercurialBridge/config.jelly,26,26,0,9
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/AbstractCommit.java,23,23,0,3
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/RollbackFailureException.java,23,23,0,3
pretested-integration-plugin/src/test/resources/commitMessagesWithDoubleQuotesSingleQuotesMade_linux-repo_description.log,21,0,21,1
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestcommit/BootstrapTest.java,21,21,0,2
pretested-integration-plugin/src/test/resources/commitMessagesWithDoubleQuotes_linux-repo_description.log,21,0,21,1
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/DummyCommit.java,21,21,0,6
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/NothingToDoException.java,18,13,5,5
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/EstablishingWorkspaceFailedException.java,17,0,17,1
pretested-integration-plugin/.hgignore,16,16,0,2
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TestCommit.java,16,0,16,1
pretested-integration-plugin/src/main/resources/index.jelly,8,1,7,4
pretested-integration-plugin/.phlow,7,7,0,2
pretested-integration-plugin/resources/hgrc,7,7,0,4
pretested-integration-plugin/src/main/resources/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationBuildWrapper/index.jelly,7,0,7,6
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/EstablishWorkspaceException.java,6,25,-19,4
pretested-integration-plugin/resources/hgrc_AF_april01,5,5,0,2
pretested-integration-plugin/.hgtags,5,5,0,2
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/CommitChangesFailureException.java,5,24,-19,3
pretested-integration-plugin/src/main/resources/org/jenkinsci/plugins/pretestedintegration/scm/git/SquashCommitStrategy/config.jelly,4,0,4,4
pretested-integration-plugin/src/main/resources/org/jenkinsci/plugins/pretestedintegration/scm/git/AccumulatedCommitStrategy/config.jelly,4,0,4,4
pretested-integration-plugin/src/main/resources/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationPostCheckout/config.jelly,3,0,3,1
pretested-integration-plugin/src/test/resources/EndUserTesting/JenkinsfileScripted,3,3,0,2
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestcommit/.TestCommitQueue.java.swp,0,0,0,2
pretested-integration-plugin/test_feature_file,0,0,0,2
